RoomID,Type,Capacity
B07-Theater,Lecture,200
B07-G01,Lecture,50
B07-G12,Lab,30
B07-F1.01,Lecture,40
B07-F1.02,Lecture,40
B07-F1.20,Lecture,40
B07-F1.21,Lecture,40
B07-F1.22,Lecture,40
B07-F1.23,Lecture,40
B07-F1.24,Lecture,40
B08-Theater,Lecture,200
B09-Theater,Lecture,200
B10-Theater,Lecture,200
B17-G01,Lab,30
B17-G16,Lab,30
B17-G17,Lab,30
B17-G22,Lab,30
B18-Theater,Lecture,200
B18-G01,Lab,30
B18-G02,Lecture,40
B18-G04,Lecture,40
B18-G05,Lab,30
B18-G08,Lecture,50
B18-G09,Lecture,50
B18-G11,Lecture,40
B18-G12,Lecture,40
B18-G13,Lecture,50
B18-G14,Lab,30
B18-G17,Lab,30
B18-G20,Lecture,40
B18-F1.1,Lecture,40
B18-F1.2,Lecture,40
B18-F1.5,Lecture,40
B18-F1.08,Lecture,40
B18-F1.10,Lecture,50
B18-F1.12,Lecture,40
B18-F1.13,Lecture,40
B18-F1.19,Lecture,60
B18-F1.20,Lecture,40
B25-F1.19,Lecture,60
B07-F1.04,Lab,30
Theater-10,Lecture,200
COE-PHY-LAB,Lab,25
